Sl. No.,State/ UT,Total rural HHs,Rural HHs with tap water supply as on 15-08-2019 - No.,Rural HHs with tap water supply as on 15-08-2019 - %,Rural HHs given tap water connections since 15-08-2019 - No.,Rural HHs given tap water connections since 15-08-2019 - %,Rural HHs with tap water connection as on 29-01-2025 - No.,Rural HHs with tap water connection as on 29-01-2025 - %
1,Andaman and Nicobar Islands,0.62,0.29,46.02,0.33,53.98,0.62,100
2,Arunachal Pradesh,2.29,0.23,9.97,2.06,90.03,2.29,100
3,Dadra and Nagar Haveli and Daman and Diu,0.85,0,0,0.85,100,0.85,100
4,Goa,2.64,1.99,75.44,0.65,24.56,2.64,100
5,Gujarat,91.18,65.16,71.46,26.02,28.54,91.18,100
6,Haryana,30.41,17.66,58.08,12.75,41.92,30.41,100
7,Himachal Pradesh,17.09,7.63,44.64,9.46,55.36,17.09,100
8,Mizoram,1.33,0.09,6.91,1.24,93.09,1.33,100
9,Puducherry,1.15,0.94,81.33,0.21,18.67,1.15,100
10,Punjab,34.27,16.79,48.98,17.48,51.02,34.27,100
11,Telangana,53.98,15.68,29.05,38.3,70.95,53.98,100
13,Uttarakhand,14.51,1.3,8.98,12.8,88.25,14.1,97.23
14,Ladakh,0.41,0.01,3.48,0.38,92.57,0.39,96.05
12,Bihar,167.55,3.16,1.89,157.19,93.82,160.36,95.71
15,Nagaland,3.64,0.14,3.82,3.23,88.87,3.37,92.69
16,Lakshadweep,0.13,NA,0,0.12,91.39,0.12,91.39
17,Sikkim,1.33,0.7,52.96,0.5,37.8,1.21,90.76
18,Tamil Nadu,125.28,21.76,17.37,88.94,70.99,110.7,88.36
19,Maharashtra,146.81,48.44,32.99,80.86,55.08,129.3,88.08
20,Uttar Pradesh,267.29,5.16,1.93,228.38,85.44,233.54,87.37
21,Tripura,7.51,0.25,3.26,6.13,81.65,6.38,84.92
22,Karnataka,101.32,24.51,24.19,59.45,58.68,83.96,82.87
23,Meghalaya,6.51,0.05,0.7,5.25,80.71,5.3,81.41
24,Assam,72.25,1.11,1.54,57.64,79.78,58.76,81.32
25,Jammu and Kashmir,19.24,5.75,29.92,9.79,50.89,15.54,80.81
26,Chhattisgarh,50.04,3.2,6.39,37,73.95,40.2,80.34
27,Manipur,4.52,0.26,5.74,3.34,73.85,3.59,79.59
28,Odisha,88.7,3.11,3.5,64.64,72.88,67.75,76.39
29,Andhra Pradesh,95.53,30.74,32.18,39.7,41.56,70.45,73.74
30,Madhya Pradesh,111.89,13.53,12.09,61.69,55.14,75.22,67.23
31,Jharkhand,62.56,3.45,5.52,30.74,49.13,34.19,54.65
32,West Bengal,175.57,2.15,1.22,93.23,53.1,95.38,54.33
33,Rajasthan,107.77,11.74,10.89,47.82,44.38,59.57,55.27
34,Kerala,70.8,16.64,23.51,21.73,30.7,38.37,54.21
Total,Total,1936.93,323.63,16.71,1219.93,62.98,1543.56,79.69
